YEAR,TOTAL_FLIGHTS,ON_TIME,DELAYED,CANCELLED,DIVERTED,TOTAL_DELAY_MIN,CARRIER_DELAY_COUNT,LATE_AIRCRAFT_DELAY_COUNT,NAS_DELAY_COUNT,WEATHER_DELAY_COUNT,SECURITY_DELAY_COUNT,DELAY_RATE,ON_TIME_RATE
2003,2373106,1922147,411570,34598,4791,21185559,87163,104421,203062,15514,1468,17.34,81.0
2004,4344735,3377387,880677,77940,8731,46609028,188860,242625,410657,35484,3084,20.27,77.74
2005,4373522,3355778,925578,83188,8978,50060286,218705,269560,402032,33110,2212,21.16,76.73
2006,4437952,3323807,1024612,78475,11058,56997528,244002,323979,417756,35307,3555,23.09,74.9
2007,4538488,3294874,1129439,102665,11510,64942741,273234,369520,444187,39531,2941,24.89,72.6
2008,4307649,3243618,965136,87650,11245,56598187,217264,306661,408170,31237,1860,22.41,75.3
2009,4038900,3183307,787472,58341,9780,44005337,174185,247225,339737,25065,1343,19.5,78.82
2010,4050772,3233526,732445,75018,9783,40660911,178490,253551,277309,21440,1770,18.08,79.82
2011,3923295,3120904,715560,77467,9364,40751156,173633,255142,266026,19402,1373,18.24,79.55
2012,3955389,3235628,658326,53494,7941,38057964,172162,241010,225322,18592,1240,16.64,81.8
2013,4108397,3231826,805063,62054,9454,47098086,195255,304028,282015,22323,1441,19.6,78.66
2014,3824651,2936870,796314,81908,9559,46493190,201042,296854,274536,22881,987,20.82,76.79
2015,3870278,3092452,707800,59770,10256,43121664,194976,247441,240811,23394,1206,18.29,79.9
2016,298634,241363,48026,8796,449,2895498,14009,16243,16170,1500,97,16.08,80.82
